nb_UCD;nb_doses;type_de_vaccin;date
72847;364235;Pfizer;22/01/2021
0;0;Moderna;22/01/2021
66731;333655;Pfizer;25/01/2021
0;0;Moderna;25/01/2021
59708;298540;Pfizer;31/01/2021
0;0;Moderna;31/01/2021
41077;205385;Pfizer;12/02/2021
180;1800;Moderna;12/02/2021
420;4200;AstraZeneca;12/02/2021
38549;231294;Pfizer;18/02/2021
180;1800;Moderna;18/02/2021
90;900;AstraZeneca;18/02/2021
26512;159072;Pfizer;26/02/2021
27720;277200;Moderna;26/02/2021
1680;16800;AstraZeneca;26/02/2021
5998;35988;Pfizer;08/03/2021
600;6000;Moderna;08/03/2021
12270;122700;AstraZeneca;08/03/2021
4132;24792;Pfizer;16/03/2021
1080;10800;Moderna;16/03/2021
20010;200100;AstraZeneca;16/03/2021
956;4780;Pfizer;19/03/2021
960;9600;Moderna;19/03/2021
33610;336100;AstraZeneca;19/03/2021
119592;717552;Pfizer;23/03/2021
35796;357960;Moderna;23/03/2021
49197;491970;AstraZeneca;23/03/2021
204198;1225188;Pfizer;26/03/2021
23159;231590;Moderna;26/03/2021
10804;108040;AstraZeneca;26/03/2021
173390;1040340;Pfizer;30/03/2021
36097;306970;Moderna;30/03/2021
21460;214600;AstraZeneca;30/03/2021
227200;1363200;Pfizer;01/04/2021
55865;558650;Moderna;01/04/2021
15888;158880;AstraZeneca;01/04/2021
156650;939360;Pfizer;05/04/2021
53265;532650;Moderna;05/04/2021
138451;1384510;AstraZeneca;05/04/2021
216440;1298640;Pfizer;12/04/2021
48346;483460;Moderna;12/04/2021
35075;350750;AstraZeneca;12/04/2021
